A_1_L_ratio	A_2_L_ratio	A_3_L_ratio	A_4_L_ratio	A_5_L_ratio	A_6_L_ratio	S_1_L_ratio	S_2_L_ratio	S_3_L_ratio	S_4_L_ratio	S_5_L_ratio	L_1_L_ratio	L_2_L_ratio	L_3_L_ratio	L_4_L_ratio	L_5_L_ratio	V_1_L_ratio	V_2_L_ratio	V_3_L_ratio	V_4_L_ratio	V_5_L_ratio	Promoters	enhancer_type	group	raw_names	A	V	S	L	L_DESeq2_Active	A_DESeq2_Active	S_DESeq2_Active	V_DESeq2_Active	A_1_ratio	A_1_L_ratio	A_2_ratio	A_2_L_ratio	A_3_ratio	A_3_L_ratio	A_4_ratio	A_4_L_ratio	A_5_ratio	A_5_L_ratio	A_6_ratio	A_6_L_ratio	S_1_ratio	S_1_L_ratio	S_2_ratio	S_2_L_ratio	S_3_ratio	S_3_L_ratio	S_4_ratio	S_4_L_ratio	S_5_ratio	S_5_L_ratio	L_1_ratio	L_1_L_ratio	L_2_ratio	L_2_L_ratio	L_3_ratio	L_3_L_ratio	L_4_ratio	L_4_L_ratio	L_5_ratio	L_5_L_ratio	V_1_ratio	V_1_L_ratio	V_2_ratio	V_2_L_ratio	V_3_ratio	V_3_L_ratio	V_4_ratio	V_4_L_ratio	V_5_ratio	V_5_L_ratio
A2M:::AAG	-0.510679638221282	0.281863709552361	0.112986887982809	0.0153285041645462	0.358876765491143	-0.577849917558569	0.565089013114867	-0.498612202767099	-0.739095082317484	-1.13217547822689	-1.66558293765817	0.0765331736862894	0.244262224429433	0.211125412996433	0.176052847183648	0.365903895531678	-0.118631147708969	0.214837997886535	-1.41329555718924	0.264971658158141	-0.831074432156429	A2M	AAG	promoter_candidate	promoter_candidate533	0	0	0	1	1	1	0	1	0.701891706288617	-0.510679638221282	1.21576442529564	0.281863709552361	1.08146493448244	0.112986887982809	1.0106815542317	0.0153285041645462	1.28242705361039	0.358876765491143	0.669961493161178	-0.577849917558569	1.47947878907518	0.565089013114867	0.707787308219308	-0.498612202767099	0.599115024069609	-0.739095082317484	0.456227248955356	-1.13217547822689	0.31521695940514	-1.66558293765817	1.05448105357144	0.0765331736862894	1.184486884772	0.244262224429433	1.15759084160036	0.211125412996433	1.12978859895861	0.176052847183648	1.28868878221363	0.365903895531678	0.92106115381987	-0.118631147708969	1.16057358474033	0.214837997886535	0.375453056803432	-1.41329555718924	1.20161244353709	0.264971658158141	0.562110460491336	-0.831074432156429
A2M:::CCT	-0.783462475649797	-0.662479328675803	-0.539494218382528	-0.730112698325053	-0.170902168737524	-0.883254098244887	-0.0510127472843113	0.363109325413001	-1.5483655872635	-1.13488448668083	-0.53615354294899	-0.360971394557671	0.180923379797516	-0.151577470900632	-0.324481291675644	0.0228616709977974	-0.47450618334962	0.161557334336611	-0.581708682834794	-0.266776604476897	-0.756877217517871	A2M	CCT	promoter_candidate	promoter_candidate533	0	0	0	1	1	0	0	1	0.58097078576482	-0.783462475649797	0.631791604547817	-0.662479328675803	0.688012070824093	-0.539494218382528	0.602856818925429	-0.730112698325053	0.888287029843833	-0.170902168737524	0.542143209693733	-0.883254098244887	0.965258496056939	-0.0510127472843113	1.28619494579239	0.363109325413001	0.341897176276363	-1.5483655872635	0.455371375889429	-1.13488448668083	0.689607063602312	-0.53615354294899	0.778640129615117	-0.360971394557671	1.13360920624069	0.180923379797516	0.900265556330145	-0.151577470900632	0.79858545913062	-0.324481291675644	1.01597272446307	0.0228616709977974	0.719713096731323	-0.47450618334962	1.11849385816129	0.161557334336611	0.668171946643097	-0.581708682834794	0.831174555665631	-0.266776604476897	0.59177587260668	-0.756877217517871
AADAC:::AAG	-0.233902676186282	-0.0906687264230006	-1.39322529206167	0.331371719945568	-0.731023916758839	-0.942183744808981	-1.89408323221266	-0.984271261353889	-2.94712494175433	-3.79851190075451	-1.70288738744275	0.0627569668045954	0.234525430741362	0.155823871729915	0.299738099509409	0.151062093660389	-1.74559543117064	-2.91284863605461	-1.76660137378727	-3.27258761662826	-1.69087059763721	AADAC	AAG	promoter_candidate	promoter_candidate674	0	0	0	1	1	0	0	0	0.850331521261741	-0.233902676186282	0.939087357063043	-0.0906687264230006	0.38071272797173	-1.39322529206167	1.25820911599875	0.331371719945568	0.602476169664701	-0.731023916758839	0.520444509664981	-0.942183744808981	0.269044508985697	-1.89408323221266	0.505480988910933	-0.984271261353889	0.129666262093929	-2.94712494175433	0.0718677385145377	-3.79851190075451	0.307170721024142	-1.70288738744275	1.04445980067031	0.0627569668045954	1.17651966171782	0.234525430741362	1.11405763522604	0.155823871729915	1.23092093710666	0.299738099509409	1.11038662369114	0.151062093660389	0.29821083235267	-1.74559543117064	0.132783828927434	-2.91284863605461	0.293900277483844	-1.76660137378727	0.10347917651596	-3.27258761662826	0.309739955289086	-1.69087059763721
AADAC:::CCT	-1.01002453787714	-1.26973156074219	-0.60227640427862	-1.20527577439116	-1.3813970313539	-1.44093501471579	-2.51193900303486	-2.75381868199162	-1.14027480579815	-2.49128192434887	-2.45984131575291	0.0501120290038533	0.0468075164830968	0.132567816539601	0.0553745298942412	0.0779350807977854	-1.69760755493224	-2.83596741607362	-1.62622132385212	-1.9640753093557	-1.48625731544171	AADAC	CCT	promoter_candidate	promoter_candidate674	0	0	0	1	1	0	0	0	0.496537802352824	-1.01002453787714	0.414736934964945	-1.26973156074219	0.65871376156713	-0.60227640427862	0.433686435517911	-1.20527577439116	0.383846917770341	-1.3813970313539	0.368328512204965	-1.44093501471579	0.175319818673517	-2.51193900303486	0.148257944323786	-2.75381868199162	0.453673153373443	-1.14027480579815	0.177848175045214	-2.49128192434887	0.181766556348736	-2.45984131575291	1.03534531796351	0.0501120290038533	1.03297655936981	0.0468075164830968	1.09624314140257	0.132567816539601	1.03912883063945	0.0553745298942412	1.05550622030724	0.0779350807977854	0.308296933568336	-1.69760755493224	0.140051814872753	-2.83596741607362	0.323935542593373	-1.62622132385212	0.256303429964059	-1.9640753093557	0.356937326803987	-1.48625731544171
ABAT:::AAG	2.71420752750658	2.16563705896228	0.694732398248122	2.24547746440385	2.70366702973255	2.28200525820767	1.74718592195452	2.74486533351512	2.64362341940439	2.69246876855071	-0.810956943979651	2.54762290234938	2.31323647226301	2.43714521372416	2.45107283089157	2.40906967482849	2.43663607279697	2.60904682947112	3.1768815297418	1.1027445959447	2.38105611463827	ABAT	AAG	promoter_candidate	promoter_candidate686	0	0	0	1	1	1	1	1	6.56232719345917	2.71420752750658	4.48664506784863	2.16563705896228	1.61858417827831	0.694732398248122	4.74194018393196	2.24547746440385	6.51455678825897	2.70366702973255	4.86353485888307	2.28200525820767	3.35703114544684	1.74718592195452	6.70327134002888	2.74486533351512	6.24899168055842	2.64362341940439	6.46418625927429	2.69246876855071	0.570003647372436	-0.810956943979651	5.84670135865317	2.54762290234938	4.96996768819179	2.31323647226301	5.41569020227671	2.43714521372416	5.46822585065948	2.45107283089157	5.3113171369238	2.40906967482849	5.41377929043288	2.43663607279697	6.10100464668845	2.60904682947112	9.04350187831764	3.1768815297418	2.1476287092883	1.1027445959447	5.20917936903093	2.38105611463827
ABAT:::CCT	1.13631790660245	1.37774961610674	2.61655400826238	1.66008134168829	2.73988618675221	2.28110251619209	1.11245176547555	0.587198033306329	1.55631887630526	1.3610330922016	1.85837428657991	3.24284655760113	3.11570320650879	3.04936743255995	3.09001294787774	2.96190063337794	1.41377260179631	2.67529320734027	2.76778276218896	1.1697211073892	1.96711027086885	ABAT	CCT	promoter_candidate	promoter_candidate686	0	0	0	1	1	1	1	1	2.19819276689768	1.13631790660245	2.59862708653247	1.37774961610674	6.13283445395705	2.61655400826238	3.16034342816108	1.66008134168829	6.68017633999139	2.73988618675221	4.86049253616242	2.28110251619209	2.16212774669261	1.11245176547555	1.50232613142935	0.587198033306329	2.94102465036348	1.55631887630526	2.5686905373262	1.3610330922016	3.62598834183157	1.85837428657991	9.46660127012446	3.24284655760113	8.66802435173171	3.11570320650879	8.27848878930197	3.04936743255995	8.51503787991779	3.09001294787774	7.79149748506865	2.96190063337794	2.66432966431503	1.41377260179631	6.38768516550921	2.67529320734027	6.81060405916295	2.76778276218896	2.24968203314633	1.1697211073892	3.90984189885088	1.96711027086885
ACACB_tv1:::AAG	-0.151702416222021	-0.235861580451467	-0.20128140885781	-0.373907992768915	0.0786737682540853	-0.367912447198099	-0.597784021591921	-1.8495053723851	-1.23060972008705	-1.31191900801521	-1.08921432648996	-0.727484733701584	-0.774894984839889	-0.808391263234084	-0.779992421220125	-0.861708586265386	-0.488318813826065	-1.2094526613918	-0.978840171346587	-1.08977487860937	-1.22722086271606	ACACB_tv1	AAG	promoter_candidate	promoter_candidate397	0	0	1	0	0	1	0	0	0.900187591760116	-0.151702416222021	0.849177716996215	-0.235861580451467	0.869777679278464	-0.20128140885781	0.771689300100224	-0.373907992768915	1.05604679806266	0.0786737682540853	0.774902956050733	-0.367912447198099	0.66076811559995	-0.597784021591921	0.277487488222334	-1.8495053723851	0.426137311217178	-1.23060972008705	0.402784756970526	-1.31191900801521	0.470017270394927	-1.08921432648996	0.603955963350324	-0.727484733701584	0.584431164039088	-0.774894984839889	0.57101824055866	-0.808391263234084	0.582369852537268	-0.779992421220125	0.5503004500808	-0.861708586265386	0.712855311011943	-0.488318813826065	0.432432643520048	-1.2094526613918	0.507387480987607	-0.978840171346587	0.469834682951695	-1.08977487860937	0.427139474499515	-1.22722086271606
ACACB_tv1:::CCT	-0.828378194181181	-0.871414662663014	-0.884221273743653	-0.93220941489396	-1.07985490789919	-0.111224006996587	-2.36688717797048	-2.07716256067268	-1.14530268125422	-1.65460075812848	-1.39345743415266	-1.02773907752367	-1.31986537192168	-1.2768580023878	-1.39071652500678	-1.56707988886068	-1.24698529824195	-1.152367329489	-1.64024188614065	-2.22573051457601	-1.4392744325348	ACACB_tv1	CCT	promoter_candidate	promoter_candidate397	0	0	1	0	0	0	0	0	0.563161965236855	-0.828378194181181	0.546610598110851	-0.871414662663014	0.541779881413227	-0.884221273743653	0.52405516283018	-0.93220941489396	0.473076398349263	-1.07985490789919	0.925802262217934	-0.111224006996587	0.193863461557058	-2.36688717797048	0.236980037229229	-2.07716256067268	0.452094828133287	-1.14530268125422	0.317625631087422	-1.65460075812848	0.380651472934384	-1.39345743415266	0.490478200722001	-1.02773907752367	0.400572317286897	-1.31986537192168	0.412693321698513	-1.2768580023878	0.381375342352378	-1.39071652500678	0.33749080729803	-1.56707988886068	0.421327708262187	-1.24698529824195	0.449886403206335	-1.152367329489	0.32080268323858	-1.64024188614065	0.213790475320952	-2.22573051457601	0.368752712669422	-1.4392744325348
ACACB_tv1ATG:::AAG	-0.409332631802876	-0.166110949050758	-0.514919293390776	-0.154387726659055	-0.140839596199218	-0.479872106136262	-1.86859351404249	-1.51301637803474	-0.401950156296101	-1.99126592473107	-1.91697076933182	-0.567522197676049	-0.703859579630921	-0.704984289038856	-0.730231744828138	-0.816275391736471	-0.748759653332999	-1.2769805453111	-1.37120578046644	-1.46180826348184	-0.88184234233571	ACACB_tv1ATG	AAG	promoter_candidate	promoter_candidate398	0	0	1	0	0	1	0	0	0.752971606062633	-0.409332631802876	0.891241953170876	-0.166110949050758	0.699832081399988	-0.514919293390776	0.898513617150784	-0.154387726659055	0.906991165727256	-0.140839596199218	0.717041186368986	-0.479872106136262	0.273840262582304	-1.86859351404249	0.350377884621704	-1.51301637803474	0.756834543927037	-0.401950156296101	0.251518090535032	-1.99126592473107	0.264809948972099	-1.91697076933182	0.674774707003654	-0.567522197676049	0.613927593839676	-0.703859579630921	0.613449169057144	-0.704984289038856	0.602807075193614	-0.730231744828138	0.567906216128938	-0.816275391736471	0.595114983441774	-0.748759653332999	0.412658268900197	-1.2769805453111	0.386568026220073	-1.37120578046644	0.363037815086255	-1.46180826348184	0.542673986095161	-0.88184234233571
ACACB_tv1ATG:::CCT	-0.595033998767146	-0.328940866065247	-0.689757040775492	-0.878728845947973	-0.826851017579679	-0.800640913678826	-1.62955709069436	-2.83386451754614	-1.59775506720257	-2.4782026876508	-2.52568509206058	-0.688747148026903	-1.07152515774398	-1.24278358146622	-1.31553562305233	-1.29233162540176	-1.45792710486046	-1.12362314892189	-1.72950717536055	-1.81556940336875	-1.4769217795493	ACACB_tv1ATG	CCT	promoter_candidate	promoter_candidate398	0	0	1	0	0	0	0	0	0.662028853542869	-0.595033998767146	0.796120729920604	-0.328940866065247	0.619958246178036	-0.689757040775492	0.543846401572225	-0.878728845947973	0.56375842056368	-0.826851017579679	0.574094080974046	-0.800640913678826	0.323187411397977	-1.62955709069436	0.140256105797912	-2.83386451754614	0.330390688560023	-1.59775506720257	0.179467848192675	-2.4782026876508	0.173657293322567	-2.52568509206058	0.620392371550308	-0.688747148026903	0.475815720274885	-1.07152515774398	0.42255657512021	-1.24278358146622	0.401776301954844	-1.31553562305233	0.408290632954556	-1.29233162540176	0.364015779432407	-1.45792710486046	0.45893980666386	-1.12362314892189	0.301554950504294	-1.72950717536055	0.284092095614426	-1.81556940336875	0.35925452177199	-1.4769217795493
